date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:12:49	83588/83588	---M--	200	added ('OK')	application/x-font-woff	date:Sun,%2017%20Apr%202016%2008:25:37%20GMT	https://sophiekerboul.com/wp-content/themes/customizr/inc/assets/css/fonts/fonts/fontawesome-webfont.woff	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/wp-content/themes/customizr/inc/assets/css/fonts/fonts/fontawesome-webfont.woff	(from https://sophiekerboul.com/)
15:12:50	142072/142072	---M--	200	added ('OK')	application/x-font-ttf	date:Sun,%2017%20Apr%202016%2008:25:37%20GMT	https://sophiekerboul.com/wp-content/themes/customizr/inc/assets/css/fonts/fonts/fontawesome-webfont.ttf	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/wp-content/themes/customizr/inc/assets/css/fonts/fonts/fontawesome-webfont.ttf	(from https://sophiekerboul.com/)
15:12:50	366270/366270	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2017%20Apr%202016%2008:25:37%20GMT	https://sophiekerboul.com/wp-content/themes/customizr/inc/assets/css/fonts/fonts/fontawesome-webfont.svg	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/wp-content/themes/customizr/inc/assets/css/fonts/fonts/fontawesome-webfont.svg	(from https://sophiekerboul.com/)
15:12:50	732/732	---MC-	200	added ('OK')	application/rss+xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d%22	https://sophiekerboul.com/?feed=comments-rss2	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/indexa6da.html	(from https://sophiekerboul.com/)
15:12:50	4176/4176	---M--	200	added ('OK')	image/gif	date:Sun,%2017%20Apr%202016%2008:25:37%20GMT	https://sophiekerboul.com/wp-content/themes/customizr//inc/assets/img/slider-loader.gif	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/wp-content/themes/customizr/inc/assets/img/slider-loader.gif	(from https://sophiekerboul.com/)
15:12:50	1944/1944	---M-Z	200	added ('OK')	text/css	date:Sun,%2017%20Apr%202016%2008:25:38%20GMT	https://sophiekerboul.com/wp-content/themes/customizr/style.css?ver=3.4.20	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/wp-content/themes/customizr/styledd6f.css	(from https://sophiekerboul.com/)
15:12:50	3837/3837	---M-Z	200	added ('OK')	text/css	date:Sun,%2017%20Apr%202016%2008:25:37%20GMT	https://sophiekerboul.com/wp-content/themes/customizr/inc/assets/js/fancybox/jquery.fancybox-1.3.4.min.css?ver=4.5.28	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/wp-content/themes/customizr/inc/assets/js/fancybox/jquery.fancybox-1.3.4.minf9f9.css	(from https://sophiekerboul.com/)
15:12:51	96874/96874	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202019%2002:43:04%20GMT	https://sophiekerboul.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/wp-includes/js/jquery/jqueryb8ff.js	(from https://sophiekerboul.com/)
15:12:51	10056/10056	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2022%20Jun%202016%2002:57:17%20GMT	https://sophiekerboul.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://sophiekerboul.com/)
15:12:51	15054/15054	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2017%20Apr%202016%2008:25:37%20GMT	https://sophiekerboul.com/wp-content/themes/customizr/inc/assets/js/fancybox/jquery.fancybox-1.3.4.min.js?ver=3.4.20	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/wp-content/themes/customizr/inc/assets/js/fancybox/jquery.fancybox-1.3.4.mindd6f.js	(from https://sophiekerboul.com/)
